City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,saint-philippe,RE,86.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,port elizabeth,ZA,77.09,few clouds,-33.918,25.5701,39 On Nile Guest House
72,geraldton,AU,90.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
75,vaini,TO,80.73,light rain,-21.2,-175.2,Keleti Beach Resort
76,latung,PH,82.76,overcast clouds,5.5,120.8833,
77,champerico,GT,77.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
78,makakilo city,US,71.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
79,butaritari,KI,82.6,clear sky,3.0707,172.7902,Isles Sunset Lodge
82,faya,SA,61.2,clear sky,18.3851,42.4509,املاك خالد الشعشوع
83,isiro,CD,76.46,overcast clouds,2.7739,27.616,Guest House Hewa Bora
85,east london,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
86,kruisfontein,ZA,74.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
88,kasongo-lunda,CD,73.98,light rain,-6.4667,16.8167,
89,pouembout,NC,82.44,overcast clouds,-21.1333,164.9,Camping de Tipenga
90,puerto escondido,MX,75.45,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
93,carnarvon,AU,79.88,few clouds,-24.8667,113.6333,Hospitality Carnarvon
95,ribeira grande,PT,61.63,few clouds,38.5167,-28.7,Quinta da Meia Eira
98,kaya,BF,71.62,overcast clouds,13.0917,-1.0844,Maison de l'appelé
101,bubaque,GW,79.02,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
103,port alfred,ZA,78.1,clear sky,-33.5906,26.891,The Halyards Hotel
104,plettenberg bay,ZA,69.53,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
105,broken hill,AU,85.03,clear sky,-31.95,141.4333,Royal Exchange Hotel
107,esperance,AU,72.12,clear sky,-33.8667,121.9,Hospitality Esperance
108,santa cruz,BO,71.24,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
109,giyani,ZA,77.5,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
110,norsup,VU,82.92,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
112,cidreira,BR,70.5,scattered clouds,-30.1811,-50.2056,Hotel Castelo
116,wamba,NG,77.18,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
117,wagar,SD,75.42,clear sky,16.1525,36.2032,
118,nioro,GM,73.38,broken clouds,13.35,-15.75,
119,concepcion del uruguay,AR,65.98,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
123,sawtell,AU,78.82,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
126,hobyo,SO,82.02,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
128,touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
129,coahuayana,MX,71.26,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
131,puerto ayora,EC,69.49,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
133,taoudenni,ML,64.18,clear sky,22.6783,-3.9836,
135,dawei,MM,82.72,overcast clouds,14.0833,98.2,Hotel Dawei
137,hirara,JP,63.1,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
138,ponta do sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
140,kapaa,US,71.11,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
141,puerto penasco,MX,63.91,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
142,presidencia roque saenz pena,AR,72.77,few clouds,-26.7852,-60.4388,Hotel Aconcagua
145,maragogi,BR,76.59,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
146,buin,CL,74.73,overcast clouds,-33.7333,-70.75,Paihuen
149,koumac,NC,82.15,overcast clouds,-20.5667,164.2833,Le Monitel
150,kavaratti,IN,81.48,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
152,pisco,PE,68.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
156,sola,VU,82.08,few clouds,-13.8833,167.55,Leumerus Bungalows
159,rajapalaiyam,IN,83.44,clear sky,9.45,77.5667,Hotel Amil
161,kaeo,NZ,74.32,scattered clouds,-35.1,173.7833,Bushido Lodge
164,obera,AR,65.05,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
166,luganville,VU,81.73,broken clouds,-15.5333,167.1667,The Espiritu Hotel
169,yangambi,CD,70.56,light rain,0.8102,24.4336,
