City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,mumford,GH,5.2618,-0.759,79.59,82,61,5.01,broken clouds
194,mahebourg,MU,-20.4081,57.7,83.25,66,31,2.84,scattered clouds
195,walvis bay,NA,-22.9575,14.5053,62.1,88,0,5.75,clear sky
196,barra velha,BR,-26.6322,-48.6847,69.6,86,75,2.89,broken clouds
197,olinda,BR,-8.0089,-34.8553,76.73,94,40,3.44,light rain
198,saint-augustin,CA,51.226,-58.6502,36.0,79,100,18.66,overcast clouds
199,freeport,US,40.6576,-73.5832,54.01,75,100,7.0,overcast clouds
200,kajaani,FI,64.2273,27.7285,3.25,85,75,6.91,broken clouds
201,san matias,BO,-16.3667,-58.4,73.18,92,78,2.26,broken clouds
202,hithadhoo,MV,-0.6,73.0833,82.0,71,89,13.18,overcast clouds
203,beni suef,EG,29.0731,31.0979,54.54,58,0,11.95,clear sky
204,narsaq,GL,60.9167,-46.05,34.21,47,100,23.26,overcast clouds
205,khani,GE,41.9563,42.9566,31.57,88,100,6.76,overcast clouds
206,marawi,PH,7.9986,124.2928,75.65,81,100,5.68,overcast clouds
207,prata,BR,-19.3072,-48.9242,67.68,65,49,2.13,scattered clouds
208,siverek,TR,37.755,39.3167,32.61,38,0,3.36,clear sky
209,tornio,FI,65.8481,24.1466,-0.38,93,36,9.28,scattered clouds
210,pochutla,MX,15.7432,-96.4661,69.82,86,0,3.44,clear sky
211,marsabit,KE,2.3284,37.9899,68.2,77,87,16.04,light rain
212,codrington,AU,-38.2667,141.9667,60.31,57,40,17.87,scattered clouds
213,athens,GR,37.9795,23.7162,58.39,83,95,3.0,overcast clouds
214,anadyr,RU,64.75,177.4833,-5.01,83,100,15.01,overcast clouds
215,bonavista,CA,48.6499,-53.1147,30.11,75,79,19.62,broken clouds
216,rawson,AR,-43.3002,-65.1023,63.16,68,0,6.13,clear sky
217,brownwood,US,31.7093,-98.9912,64.54,87,1,8.59,clear sky
218,meadow lake,US,34.8014,-106.5436,54.32,45,100,17.52,overcast clouds
219,cherskiy,RU,68.75,161.3,-23.24,98,100,5.84,overcast clouds
220,san patricio,US,28.017,-97.5169,71.89,92,47,9.95,scattered clouds
221,tarko-sale,RU,64.9225,77.785,-12.95,96,41,11.61,scattered clouds
222,labrea,BR,-7.2586,-64.7981,76.68,93,99,2.28,overcast clouds
223,labuhan,ID,-6.8844,112.2051,89.1,61,28,8.88,scattered clouds
224,shimoda,JP,34.6667,138.95,40.1,44,30,27.56,scattered clouds
225,yellowknife,CA,62.456,-114.3525,-3.59,96,100,10.89,overcast clouds
226,puerto madryn,AR,-42.7692,-65.0385,65.21,62,0,6.13,clear sky
227,tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,1,17.27,clear sky
228,naze,JP,28.3667,129.4833,52.47,71,89,21.14,overcast clouds
229,salalah,OM,17.0151,54.0924,77.18,54,0,4.88,clear sky
230,lloydminster,CA,53.2835,-110.0016,-23.24,99,100,3.11,overcast clouds
231,adrar,MR,20.5022,-10.0711,60.22,29,0,7.65,clear sky
232,konya,TR,38.1667,32.5,27.79,84,13,3.85,few clouds
233,dumas,US,35.8656,-101.9732,50.04,52,1,5.75,clear sky
234,russell,US,32.3502,-85.1999,64.11,93,90,0.0,mist
235,cartagena,CO,10.3997,-75.5144,80.22,83,0,5.75,clear sky
236,ciudad bolivar,VE,8.1222,-63.5497,72.84,86,36,8.77,scattered clouds
237,neyshabur,IR,36.2133,58.7958,37.62,57,6,3.4,clear sky
